Country;tourist;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;;;;;;
AT;EUR;96068695;100193369;98685530;99392740;100361505;103729543;104495623;103770644;105621722;110118843;112558033;116269532;;;;;;
AT;WORLD;100664327;104705704;102833458;103942335;105339968;109540720;110687373;110440776;113365901;117957253;121126543;125229170;;;;;;
BE;EUR;27779676;27907058;27443646;28419503;29305702;29037206;29069935;30006490;35640070;34600391;35788194;:;;;;;;
BE;WORLD;29849356;29971839;29250381;30298026;31379844;31267441;31448180;32605681;38380415;36855214;38677308;:;;;;;;
BG;EUR;17368969;17170507;14375139;15016797;17426121;18852044;19947591;19753324;19433843;23856336;24673676;25460861;;;;;;
BG;WORLD;17976658;18182923;15277000;16219551;18656061;20252038;21617474;21698391;21397816;25185996;26054096;26845013;;;;;;
CH;EUR;:;:;:;:;:;:;:;:;:;41911369;:;:;;;;;;
CH;WORLD;:;:;:;:;:;:;:;:;:;50397026;:;:;;;;;;
CY;EUR;13913658;14028579;12584528;13355648;13809783;14086595;13624112;13218833;12776037;14662579;15997215;16276200;;;;;;
CY;WORLD;14377667;14380375;13003669;13800788;14284731;14576573;14048529;13715342;13374838;15348884;16780913;17164182;;;;;;
CZ;EUR;38135574;36656848;34154535;34039597;35165290;39600666;39395588;38678613;42004560;44259158;47091325;49207373;;;;;;
CZ;WORLD;40831072;39283474;36662192;36908811;38235088;43278457;43308279;42946929;47093906;49696957;53219395;55513922;;;;;;
DE;EUR;303691064;310360302;301765991;311262112;324191724;333805511;337262839;347572814;357164555;367981963;378820364;396187512;;;;;;
DE;WORLD;317305835;323883369;314116259;325439525;339021466;350349425;354871005;366527398;378048084;388851871;401163218;419556284;;;;;;
DK;EUR;27277097;27204016;25645124;26243015;27224149;26940819;27273668;28320678;29320451;30235138;30385931;31378757;;;;;;
DK;WORLD;28067594;27977816;26440247;27134321;28217506;28040235;28500837;29646899;30809340;31896347;32157794;33280905;;;;;;
EA;EUR;:;;1269922443;1714625105;1690911680;:;;:;;:;;1917303481;1977615043;2047937015;2136651265;:;;
EA;WORLD;:;;1357568374;1815307459;1801041061;:;;:;;:;;2054471102;2129998197;2201714897;2309085630;:;;
EE;EUR;4565173;4501525;4016757;4571791;5239930;5358591;5551387;5587616;5486618;5928409;6177989;:;;;;;;
EE;WORLD;4674501;4602212;4122526;4700680;5399392;5544537;5734033;5809464;5781870;6228128;6509299;:;;;;;;
EL;EUR;62069346;62544510;81457214;79986333;72590123;76321584;84339682;89165422;91764984;95060768;103630295;114362965;;;;;;
EL;WORLD;65420236;65624563;85083503;84037672;87551176;80566670;89105443;95116395;98617559;101855381;111271486;123087178;;;;;;
ES;EUR;367850611;362134875;335298089;348928261;371713606;364136743;369727291;382680282;398082962;428358054;440835238;434992894;;;;;;
ES;WORLD;381460113;375709669;348554457;364879963;389876707;382670975;389211984;403963023;422226376;454957250;471199729;466912807;;;;;;
EU27;EUR;2169087512;1555110790;2294106289;2233820529;2248812127;2352219135;2388896358;2430609869;2585942324;2689669114;2790781034;:;;;;;;
EU27;WORLD;2313261980;1673973110;2435900961;2388245962;2437453321;2530697570;2582527073;2619148181;2872571739;2976044122;3097961423;:;;;;;;
EU28;EUR;2206462769;1574844414;2319747717;2259299809;2286921325;2412714698;2451294201;2497601228;2654235793;2764069400;2872461521;:;;;;;;
EU28;WORLD;2351580818;1694523859;2462515086;2414802467;2476704111;2592881495;2646945365;2688755589;2943910739;3053868236;3184056270;:;;;;;;
FI;EUR;18066335;18485554;17728244;18374664;19000123;19240593;19104856;18587983;18384066;18757348;20034459;20286431;;;;;;
FI;WORLD;19036665;19465620;18567338;19248057;19987871;20317582;20241057;19786022;19738123;20343433;21914154;22235084;;;;;;
FR;EUR;283196907;283796150;278718287;353757336;361105684;375897752;380473583;374121810;380762594;378038671;402374075;407036594;;;;;;
FR;WORLD;301962648;301038936;294689672;371548346;400994321;401027391;408126035;402315167;410052887;404734050;433058728;442760051;;;;;;
HR;EUR;37375257;37566453;36613152;36031805;38109198;60495563;62397843;63608567;68293469;74400286;81680487;84516442;;;;;;
HR;WORLD;38318838;38532072;37484621;37009182;39250790;62183925;64418292;66124991;71339000;77824114;86094847;89567653;;;;;;
HU;EUR;18723119;18724722;17612430;17765592;18060300;21655736;22647028;24091834;25247948;26809619;28688977;29657215;;;;;;
HU;WORLD;20128534;19974414;18709746;19030734;19434914;23169533;24426148;26053873;27542898;29291168;31608719;32830120;;;;;;
IE;EUR;29425196;28954731;24751087;23695667;23474575;:;;:;;25351255;25166993;25473893;:;;:;;;
IE;WORLD;35983194;34873000;30567544;29282163;:;;:;;:;;29166381;29707674;31105668;:;;:;;
IS;EUR;2220776;2214964;2388725;2436983;2509133;3060284;3526234;4384571;4916451;5387163;:;;:;;;;;
IS;WORLD;2602054;2673060;2863922;2937274;3172441;3719126;4280685;5489883;6536277;7808316;:;;:;;;;;
IT;EUR;347058595;346199214;344768331;346954142;354713489;347591973;342716139;342326085;352375880;363237692;377623533;382406746;;;;;;
IT;WORLD;376641751;373666712;370762377;375542550;386894732;380711483;376785615;377770806;392874070;402962113;420629155;428844937;;;;;;
LI;EUR;169213;175364;166236;156644;155551;124033;121134;117803;97989;114199;129785;140527;;;;;;
LI;WORLD;183360;187306;176340;166835;167120;141042;135303;132272;112484;130816;150624;162161;;;;;;
LT;EUR;3163518;3136857;2448553;2676632;3120686;5544282;5865588;6184267;6293869;6654057;6974789;7645973;;;;;;
LT;WORLD;3263661;3249339;2548114;2792135;3266858;5741252;6089056;6465004;6581192;6992674;7364924;8091647;;;;;;
LU;EUR;2366641;2271799;2107909;1712360;2036249;2304594;2433742;2630379;2712111;2696006;2641951;:;;;;;;
LU;WORLD;2527820;2432004;2248139;1845308;2237724;2543830;2637481;2867811;2979464;2955593;2891628;:;;;;;;
LV;EUR;3211559;3372346;2451803;2707721;3169951;3400352;3527936;3852243;3771454;4162003;4619315;:;;;;;;
LV;WORLD;3324690;3501063;2543111;2834104;3294232;3546736;3775192;4158418;4109910;4416597;4950929;:;;;;;;
ME;EUR;:;;:;;:;;:;;3095323;9000886;:;;:;;10837494;10989910;3621911;:
ME;WORLD;:;;:;;:;;:;;3170519;9151236;:;;:;;11054947;11250005;3890370;:
